0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Class-1,Class-2,Class-3
11.0,45,34,1.0,55,127921.0,1.0,1.0,0,4,3,0,2,1.0,9,1,0,1,3,241885.0,0,1.0,44,4,1,1,1
4.0,50,41,1.0,60,231619.0,1.0,2.0,0,2,3,0,2,1.0,10,5,0,1,3,104334.0,0,1.0,59,9,1,1,0
2.0,40,36,1.0,26,119941.0,1.0,1.0,0,4,3,0,1,1.0,9,7,0,1,2,77953.0,0,1.0,44,15,0,1,1
1.0,40,26,1.0,38,215766.0,1.0,1.0,0,2,3,0,6,1.0,10,2,3103,1,3,167350.0,0,1.0,31,4,1,1,0
1.0,40,28,1.0,38,170525.0,1.0,1.0,0,7,6,3471,4,1.0,11,2,0,2,2,109857.0,0,1.0,18,1,1,0,1
7.0,60,33,,42,329408.0,1.0,1.0,0,4,3,0,11,1.0,9,1,0,1,1,51543.0,0,,29,4,1,1,1
2.0,48,67,1.0,25,137142.0,3.0,1.0,0,9,3,0,2,1.0,4,1,0,1,1,325373.0,0,1.0,22,4,1,1,1
2.0,40,44,1.0,48,59313.0,1.0,5.0,0,1,3,0,1,1.0,13,4,0,1,1,210525.0,0,1.0,41,6,1,1,1
,45,20,1.0,35,175856.0,,1.0,0,4,1,0,4,1.0,9,4,0,1,3,84375.0,0,1.0,35,1,1,0,1
7.0,35,20,1.0,47,142766.0,1.0,1.0,0,4,2,3781,1,1.0,9,2,0,3,2,162688.0,0,2.0,34,4,1,1,1
5.0,40,18,1.0,30,189666.0,1.0,1.0,0,4,1,0,2,1.0,9,2,0,1,1,163787.0,0,1.0,21,2,1,0,1
9.0,10,19,1.0,37,26880.0,6.0,2.0,0,2,2,0,8,1.0,10,2,0,3,1,135162.0,0,5.0,35,4,1,0,1
4.0,60,40,9.0,21,165218.0,1.0,1.0,0,2,3,0,4,4.0,10,4,0,1,1,184378.0,0,1.0,26,4,1,1,1
5.0,45,44,1.0,36,218785.0,2.0,5.0,1977,4,3,0,4,1.0,9,4,0,1,1,179557.0,0,1.0,22,1,1,1,0
6.0,40,36,1.0,28,254781.0,1.0,1.0,0,1,4,0,1,1.0,13,4,0,3,1,102568.0,0,2.0,56,15,1,0,0
6.0,40,46,1.0,30,209900.0,1.0,2.0,0,1,4,0,11,1.0,13,1,0,2,1,125492.0,0,3.0,23,4,0,0,1
4.0,30,25,1.0,21,161922.0,1.0,1.0,0,4,2,0,4,1.0,9,14,0,3,3,197130.0,0,2.0,24,4,1,0,1
6.0,50,23,1.0,67,294434.0,1.0,4.0,0,1,4,0,4,1.0,13,1,0,3,3,203924.0,0,1.0,45,2,1,1,1
4.0,40,45,1.0,51,185216.0,3.0,5.0,0,4,6,0,2,1.0,9,4,0,3,1,81534.0,0,1.0,44,4,0,1,1
3.0,39,22,1.0,53,275095.0,6.0,1.0,0,2,5,0,2,29.0,10,3,0,3,1,264102.0,0,1.0,38,1,0,1,1
9.0,40,43,1.0,42,186934.0,6.0,5.0,0,4,6,0,4,1.0,9,4,0,3,1,218542.0,0,1.0,42,4,0,0,1
,40,27,1.0,41,210448.0,,1.0,0,4,4,0,13,1.0,9,2,0,3,1,204074.0,0,2.0,20,4,1,1,1
6.0,30,55,1.0,46,170721.0,1.0,1.0,0,14,3,4865,2,1.0,16,3,15024,1,4,116878.0,0,3.0,20,6,1,1,0
6.0,40,44,33.0,42,166304.0,1.0,1.0,0,1,3,0,3,,13,1,99999,1,1,227065.0,0,1.0,20,2,1,1,0
2.0,40,38,1.0,24,324445.0,1.0,1.0,0,4,2,0,1,1.0,9,4,0,3,2,218490.0,0,1.0,57,9,1,1,1
6.0,40,53,1.0,38,27242.0,6.0,1.0,0,14,3,0,2,1.0,16,1,0,1,3,71417.0,0,1.0,47,2,1,1,1
8.0,40,46,1.0,25,443809.0,1.0,,0,13,4,0,2,1.0,6,4,0,3,5,161508.0,0,6.0,42,4,0,1,1
,40,31,1.0,24,133503.0,,,0,1,4,0,9,1.0,13,9,0,3,3,317761.0,0,1.0,25,8,1,1,1
5.0,40,33,1.0,55,46868.0,1.0,1.0,0,4,6,0,2,1.0,9,1,0,2,2,180551.0,0,2.0,25,4,1,0,1
6.0,25,63,1.0,64,229465.0,1.0,1.0,0,4,1,0,4,1.0,9,3,0,1,3,151364.0,0,6.0,22,2,1,0,1
9.0,40,63,1.0,30,266070.0,1.0,1.0,0,4,6,0,3,1.0,9,1,0,5,2,38352.0,0,1.0,49,4,1,0,1
3.0,40,55,1.0,66,200352.0,2.0,1.0,0,4,3,0,4,1.0,9,2,0,1,1,271795.0,0,1.0,24,2,1,1,1
6.0,60,33,1.0,27,225395.0,2.0,1.0,0,1,3,0,8,1.0,13,1,0,1,1,175502.0,0,,47,4,1,1,1
4.0,15,81,1.0,30,100669.0,1.0,1.0,0,2,3,0,4,1.0,10,1,0,1,1,122651.0,0,1.0,32,4,1,1,1
9.0,40,23,1.0,31,192995.0,1.0,1.0,0,4,4,0,1,1.0,9,4,0,3,5,85139.0,0,1.0,26,4,1,0,1
5.0,45,44,1.0,42,138994.0,3.0,1.0,0,2,4,3137,1,1.0,10,2,2202,3,6,56236.0,0,1.0,55,4,0,1,1
7.0,40,38,1.0,30,203488.0,1.0,1.0,0,4,4,0,11,1.0,9,1,0,3,1,175441.0,0,1.0,25,4,0,1,1
9.0,50,38,1.0,59,190205.0,1.0,5.0,0,11,4,0,8,17.0,14,7,0,3,1,353263.0,0,1.0,37,4,1,0,0
6.0,3,75,1.0,27,326936.0,2.0,1.0,0,14,3,7688,1,1.0,16,7,4931,1,3,231741.0,0,3.0,49,1,1,1,1
2.0,45,35,1.0,29,185764.0,1.0,1.0,0,4,3,0,4,1.0,9,8,0,1,2,173586.0,0,1.0,54,2,1,1,0
6.0,45,32,1.0,27,331894.0,1.0,1.0,1902,11,3,0,15,9.0,14,13,0,1,1,154210.0,0,1.0,49,11,0,1,0
13.0,40,31,1.0,46,196125.0,5.0,1.0,0,4,3,0,4,1.0,9,13,0,1,2,206297.0,0,,65,1,1,1,0
,24,36,1.0,39,213092.0,,1.0,0,3,2,0,6,1.0,7,2,0,3,1,320183.0,0,5.0,30,1,0,1,1
8.0,40,56,1.0,34,112507.0,1.0,1.0,0,4,3,0,2,1.0,9,11,0,1,3,53481.0,0,6.0,28,11,1,1,1
6.0,45,33,1.0,69,101266.0,1.0,1.0,0,1,4,0,4,1.0,13,1,10520,3,3,356823.0,0,4.0,28,4,1,0,0
11.0,40,34,1.0,61,161155.0,1.0,1.0,0,4,3,0,1,1.0,9,2,0,1,4,381153.0,0,1.0,44,4,1,1,1
6.0,60,38,16.0,22,105422.0,1.0,5.0,0,5,3,0,10,1.0,15,7,0,1,1,348739.0,0,2.0,37,1,1,1,1
6.0,5,30,1.0,20,146365.0,6.0,1.0,0,2,4,0,4,1.0,10,4,0,3,2,61989.0,0,1.0,36,2,1,0,1
9.0,40,53,1.0,22,31826.0,1.0,1.0,0,11,1,0,11,1.0,14,2,0,1,3,285621.0,0,1.0,53,3,1,0,0
7.0,40,27,1.0,36,142470.0,1.0,1.0,0,4,6,99999,4,1.0,9,4,0,3,1,188909.0,0,1.0,52,10,0,0,1
,40,41,1.0,44,245361.0,,1.0,0,4,4,0,4,1.0,9,4,0,2,1,119207.0,0,2.0,39,4,1,1,1
11.0,40,18,1.0,38,156033.0,4.0,1.0,0,4,2,0,2,1.0,9,2,0,3,2,263162.0,0,3.0,22,15,1,1,1
5.0,40,76,1.0,41,289886.0,1.0,1.0,0,1,3,0,11,1.0,13,4,0,1,3,125784.0,0,1.0,25,4,1,1,1
3.0,40,26,1.0,38,139012.0,1.0,3.0,0,1,4,0,4,1.0,13,7,0,3,3,55929.0,0,1.0,39,4,1,0,1
8.0,40,51,1.0,39,405526.0,1.0,2.0,0,4,3,0,3,1.0,9,2,0,1,1,136913.0,0,1.0,34,4,1,1,1
10.0,70,64,1.0,17,37937.0,1.0,1.0,0,4,3,0,2,1.0,9,4,0,1,1,298546.0,0,1.0,53,2,1,1,1
4.0,40,26,16.0,47,199806.0,1.0,2.0,0,1,2,0,2,1.0,13,2,0,3,3,188767.0,0,1.0,20,1,1,1,1
5.0,35,25,1.0,26,98466.0,1.0,5.0,0,1,4,0,7,1.0,13,1,0,3,1,160300.0,0,5.0,52,4,1,1,1
13.0,40,41,1.0,31,378723.0,5.0,1.0,0,4,6,0,3,1.0,9,4,0,2,1,216116.0,2057,1.0,41,2,0,0,0
3.0,38,22,1.0,25,336951.0,1.0,1.0,0,2,2,0,11,1.0,10,7,0,3,6,195075.0,0,1.0,29,2,1,0,1
5.0,40,46,1.0,23,157332.0,1.0,1.0,0,4,3,0,2,1.0,9,11,0,1,1,29696.0,0,4.0,62,2,1,1,0
10.0,45,28,1.0,35,232782.0,2.0,4.0,0,7,2,0,4,1.0,11,11,10520,3,1,29974.0,0,1.0,45,1,1,1,0
2.0,40,36,1.0,19,211804.0,1.0,1.0,0,2,3,0,4,1.0,10,2,0,1,3,241306.0,0,1.0,57,1,1,1,0
5.0,50,63,1.0,66,73019.0,1.0,1.0,0,4,6,0,4,1.0,9,4,0,5,3,181929.0,0,3.0,34,11,1,1,0
4.0,50,52,1.0,46,148084.0,1.0,1.0,0,2,4,0,2,1.0,10,4,0,2,2,95128.0,0,,34,2,1,1,1
2.0,40,20,5.0,26,244408.0,1.0,2.0,0,4,2,0,7,1.0,9,4,0,3,2,257509.0,0,1.0,49,1,1,1,1
,30,34,1.0,40,258339.0,,1.0,0,1,3,0,4,1.0,13,2,0,1,1,35595.0,0,1.0,64,11,1,1,1
7.0,40,42,1.0,36,190759.0,1.0,1.0,0,4,3,0,9,1.0,9,4,0,1,3,124692.0,0,1.0,32,2,1,1,1
10.0,40,19,1.0,23,400004.0,1.0,1.0,0,4,2,0,1,1.0,9,4,0,3,2,220819.0,0,1.0,26,4,1,0,1
3.0,42,31,5.0,33,164190.0,1.0,1.0,0,7,3,0,1,1.0,11,4,0,1,1,77634.0,0,1.0,69,4,1,1,1
,48,33,1.0,55,158363.0,,1.0,0,4,6,0,7,1.0,9,1,0,2,3,33404.0,0,2.0,58,4,1,1,1
9.0,46,55,1.0,39,57233.0,4.0,1.0,0,4,3,0,4,1.0,9,4,0,1,3,171870.0,0,1.0,60,4,1,1,0
6.0,80,27,1.0,34,97176.0,1.0,2.0,0,14,3,0,1,1.0,16,4,0,1,1,201017.0,0,1.0,62,4,1,1,1
13.0,40,20,1.0,45,174533.0,1.0,1.0,0,2,4,0,4,1.0,10,13,0,3,5,20057.0,0,6.0,51,13,0,0,1
,40,41,1.0,67,320084.0,,,0,8,1,0,4,40.0,5,1,0,1,1,217921.0,0,1.0,38,7,0,0,1
,40,38,1.0,56,411068.0,,,0,2,3,0,4,1.0,10,10,0,1,5,320811.0,0,1.0,20,1,1,1,1
4.0,25,35,21.0,34,147921.0,1.0,5.0,0,4,4,7688,4,1.0,9,4,0,3,1,140752.0,0,1.0,27,2,1,1,1
6.0,40,43,1.0,60,93415.0,1.0,6.0,1902,11,3,15024,4,1.0,14,4,0,1,1,256813.0,0,1.0,38,2,1,1,0
8.0,40,61,1.0,43,172256.0,1.0,5.0,0,4,2,0,4,1.0,9,2,0,2,1,221534.0,0,1.0,44,1,1,0,1
2.0,40,37,1.0,24,222221.0,3.0,1.0,0,2,6,0,7,5.0,10,2,0,2,3,95634.0,0,1.0,25,4,1,0,1
13.0,40,35,1.0,27,217304.0,1.0,,0,11,4,0,4,1.0,14,1,0,6,1,342642.0,0,1.0,31,1,1,1,1
7.0,30,22,1.0,41,229180.0,1.0,1.0,0,1,2,0,4,1.0,13,4,0,3,1,195767.0,0,2.0,18,1,1,1,1
2.0,35,45,1.0,22,366618.0,1.0,1.0,0,7,3,0,2,1.0,11,4,0,1,3,180931.0,0,1.0,57,2,1,1,1
4.0,40,50,1.0,63,325372.0,3.0,1.0,0,11,3,0,4,1.0,14,4,0,1,1,240374.0,1719,1.0,34,13,1,1,0
10.0,70,37,1.0,45,147548.0,2.0,1.0,0,4,3,0,4,1.0,9,2,0,1,2,33394.0,0,1.0,44,1,1,1,1
3.0,16,20,1.0,25,246011.0,1.0,,0,2,2,0,4,1.0,10,2,0,3,1,196745.0,0,1.0,47,7,1,0,1
,40,39,1.0,53,197332.0,,3.0,0,4,6,0,2,1.0,9,14,0,2,1,71701.0,0,1.0,22,2,1,0,1
5.0,40,33,1.0,43,99199.0,1.0,1.0,0,11,4,4064,2,1.0,14,4,0,3,3,101562.0,0,1.0,17,2,1,0,1
,40,64,1.0,48,192149.0,,5.0,0,9,4,0,9,1.0,4,4,0,5,3,286732.0,0,1.0,27,1,1,0,1
3.0,60,36,1.0,25,149650.0,1.0,1.0,0,4,3,0,2,1.0,9,2,0,1,3,151835.0,0,1.0,30,2,1,1,0
2.0,40,28,1.0,32,158685.0,1.0,1.0,0,13,3,0,4,1.0,6,11,0,1,2,263015.0,0,1.0,32,1,1,1,1
